======================================================================
  CATAN BOT SIMULATION -- 2026-04-03 15:35:53
  Variant: base-3-4, Players: 4, VP Target: 10
======================================================================

PLAYERS:
  1. Bot Bob (blue)
  2. Bot Alice (red)
  3. Bot Diana (orange)
  4. Bot Charlie (white)

----------------------------------------------------------------------
TURN LOG:
----------------------------------------------------------------------

T  0 | Bot Bob        | setup-settlement     | setup-settlement
T  0 | Bot Bob        | setup-road           | setup-road
T  0 | Bot Alice      | setup-settlement     | setup-settlement
T  0 | Bot Alice      | setup-road           | setup-road
T  0 | Bot Diana      | setup-settlement     | setup-settlement
T  0 | Bot Diana      | setup-road           | setup-road
T  0 | Bot Charlie    | setup-settlement     | setup-settlement
T  0 | Bot Charlie    | setup-road           | setup-road
T  0 | Bot Charlie    | setup-settlement     | setup-settlement
T  0 | Bot Charlie    | setup-road           | setup-road
T  0 | Bot Diana      | setup-settlement     | setup-settlement
T  0 | Bot Diana      | setup-road           | setup-road
T  0 | Bot Alice      | setup-settlement     | setup-settlement
T  0 | Bot Alice      | setup-road           | setup-road
T  0 | Bot Bob        | setup-settlement     | setup-settlement
T  1 | Bot Bob        | setup-road           | setup-road
T  1 | SYSTEM         | game-start           | game-start
T  1 | Bot Bob        | dice-roll            | 2+5=7
T  1 | Bot Bob        | move-robber          | moved robber
T  1 | Bot Bob        | steal                | stole from Bot Alice
T  1 | Bot Bob        | buy-dev-card         | bought dev card
T  2 | Bot Bob        | end-turn             | ended turn
T  2 | Bot Alice      | dice-roll            | 2+1=3
T  2 | SYSTEM         | resource-distribution | resource-distribution
T  3 | Bot Alice      | end-turn             | ended turn
T  3 | Bot Diana      | dice-roll            | 1+3=4
T  3 | SYSTEM         | resource-distribution | resource-distribution
T  3 | Bot Diana      | build-road           | built road
T  4 | Bot Diana      | end-turn             | ended turn
T  4 | Bot Charlie    | dice-roll            | 3+5=8
T  4 | SYSTEM         | resource-distribution | resource-distribution
T  5 | Bot Charlie    | end-turn             | ended turn
T  5 | Bot Bob        | dice-roll            | 5+6=11
T  5 | SYSTEM         | resource-distribution | resource-distribution
T  5 | Bot Bob        | build-road           | built road
T  6 | Bot Bob        | end-turn             | ended turn
T  6 | Bot Alice      | dice-roll            | 2+4=6
T  6 | SYSTEM         | resource-distribution | resource-distribution
T  7 | Bot Alice      | end-turn             | ended turn
T  7 | Bot Diana      | dice-roll            | 1+1=2
T  7 | SYSTEM         | resource-distribution | resource-distribution
T  8 | Bot Diana      | end-turn             | ended turn
T  8 | Bot Charlie    | dice-roll            | 4+1=5
T  8 | SYSTEM         | resource-distribution | resource-distribution
T  9 | Bot Charlie    | end-turn             | ended turn
T  9 | Bot Bob        | dice-roll            | 1+1=2
T  9 | SYSTEM         | resource-distribution | resource-distribution
T 10 | Bot Bob        | end-turn             | ended turn
